date,sales
2022-01-01,209
2022-01-02,200
2022-01-03,220
2022-01-04,241
2022-01-05,209
2022-01-06,212
2022-01-07,252
2022-01-08,239
2022-01-09,217
2022-01-10,241
2022-01-11,223
2022-01-12,226
2022-01-13,243
2022-01-14,202
2022-01-15,208
2022-01-16,233
2022-01-17,226
2022-01-18,254
2022-01-19,231
2022-01-20,222
2022-01-21,281
2022-01-22,247
2022-01-23,254
2022-01-24,224
2022-01-25,242
2022-01-26,255
2022-01-27,229
2022-01-28,259
2022-01-29,238
2022-01-30,243
2022-01-31,236
2022-02-01,283
2022-02-02,244
2022-02-03,221
2022-02-04,257
2022-02-05,214
2022-02-06,240
2022-02-07,194
2022-02-08,204
2022-02-09,231
2022-02-10,239
2022-02-11,225
2022-02-12,216
2022-02-13,209
2022-02-14,182
2022-02-15,194
2022-02-16,196
2022-02-17,223
2022-02-18,205
2022-02-19,160
2022-02-20,199
2022-02-21,181
2022-02-22,172
2022-02-23,195
2022-02-24,201
2022-02-25,196
2022-02-26,158
2022-02-27,166
2022-02-28,177
2022-03-01,188
2022-03-02,157
2022-03-03,161
2022-03-04,141
2022-03-05,138
2022-03-06,177
2022-03-07,187
2022-03-08,158
2022-03-09,179
2022-03-10,166
2022-03-11,146
2022-03-12,167
2022-03-13,191
2022-03-14,160
2022-03-15,193
2022-03-16,111
2022-03-17,181
2022-03-18,168
2022-03-19,162
2022-03-20,172
2022-03-21,133
2022-03-22,170
2022-03-23,184
2022-03-24,210
2022-03-25,173
2022-03-26,170
2022-03-27,179
2022-03-28,211
2022-03-29,202
2022-03-30,189
2022-03-31,213
2022-04-01,208
2022-04-02,229
2022-04-03,199
2022-04-04,210
2022-04-05,213
2022-04-06,195
2022-04-07,233
2022-04-08,236
2022-04-09,234
2022-04-10,233
2022-04-11,212
2022-04-12,235
2022-04-13,239
2022-04-14,233
2022-04-15,248
2022-04-16,262
2022-04-17,293
2022-04-18,261
2022-04-19,265
2022-04-20,259
2022-04-21,224
2022-04-22,263
2022-04-23,265
2022-04-24,314
2022-04-25,261
2022-04-26,271
2022-04-27,264
2022-04-28,241
2022-04-29,287
2022-04-30,279
2022-05-01,278
2022-05-02,243
2022-05-03,288
2022-05-04,230
2022-05-05,268
2022-05-06,298
2022-05-07,232
2022-05-08,238
2022-05-09,249
2022-05-10,234
2022-05-11,211
2022-05-12,240
2022-05-13,215
2022-05-14,242
2022-05-15,211
2022-05-16,257
2022-05-17,207
2022-05-18,213
2022-05-19,233
2022-05-20,189
2022-05-21,214
2022-05-22,233
2022-05-23,171
2022-05-24,204
2022-05-25,203
2022-05-26,210
2022-05-27,167
2022-05-28,163
2022-05-29,197
2022-05-30,190
2022-05-31,187
2022-06-01,187
2022-06-02,165
2022-06-03,181
2022-06-04,181
2022-06-05,160
2022-06-06,210
2022-06-07,182
2022-06-08,148
2022-06-09,185
2022-06-10,152
2022-06-11,187
2022-06-12,195
2022-06-13,156
2022-06-14,193
2022-06-15,183
2022-06-16,192
2022-06-17,216
2022-06-18,174
2022-06-19,166
